Calgary — Starts by Dwelling Type by Zone
October 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Downtown,0,0,0,0,0,
Beltline,3,0,0,70,73,
North Hill,7,4,0,8,19,
Southwest,30,18,134,250,432,
Southeast,92,16,73,245,426,
Northwest,150,46,45,157,398,
Northeast,65,42,73,256,436,
Chinook,5,0,4,5,14,
Fish Creek,120,40,67,260,487,
Other Centres,172,54,58,121,405,
Calgary,644,220,454,"1,372","2,690",

Notes
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Starts and Completions Survey
