Calgary — Starts by Dwelling Type by Zone
November 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Downtown,1,0,0,0,1,
Beltline,0,0,0,83,83,
North Hill,10,2,11,20,43,
Southwest,39,40,51,441,571,
Southeast,115,22,45,275,457,
Northwest,149,50,60,279,538,
Northeast,69,24,43,133,269,
Chinook,5,0,0,1,6,
Fish Creek,168,36,19,55,278,
Other Centres,161,24,109,8,302,
Calgary,717,198,338,"1,295","2,548",

Notes
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Starts and Completions Survey
