Calgary — Starts by Dwelling Type by Zone
December 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Downtown,1,0,0,0,1,
Beltline,0,0,0,67,67,
North Hill,10,6,0,26,42,
Southwest,34,10,34,102,180,
Southeast,77,36,46,103,262,
Northwest,79,42,58,153,332,
Northeast,45,28,10,36,119,
Chinook,1,0,0,0,1,
Fish Creek,93,6,35,198,332,
Other Centres,174,26,177,4,381,
Calgary,514,154,360,689,"1,717",

Notes
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Starts and Completions Survey
