Calgary — Starts by Dwelling Type by Zone
August 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Downtown,0,0,0,0,0,
Beltline,0,2,0,0,2,
North Hill,8,12,4,19,43,
Southwest,27,14,52,179,272,
Southeast,97,38,68,47,250,
Northwest,130,44,70,191,435,
Northeast,66,20,19,26,131,
Chinook,0,0,0,0,0,
Fish Creek,127,42,49,86,304,
Other Centres,142,26,66,4,238,
Calgary,597,198,328,552,"1,675",

Notes
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Starts and Completions Survey
