Calgary — Starts by Dwelling Type by Zone
September 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Downtown,0,0,0,0,0,
Beltline,0,0,0,0,0,
North Hill,5,2,4,8,19,
Southwest,27,8,45,201,281,
Southeast,78,18,58,150,304,
Northwest,158,24,54,314,550,
Northeast,91,12,17,156,276,
Chinook,3,2,4,100,109,
Fish Creek,129,54,39,65,287,
Other Centres,169,42,50,3,264,
Calgary,660,162,271,997,"2,090",

Notes
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Starts and Completions Survey
